FIPS,State_Name,County_Name,Tract_Name,Total_Population,Prison_Population,Percent_In_Prison,Prison_Name,Student_Population,Percent_Student,Universities,Nearby_Universities,Military_Population,Percent_In_Military,Military_Institutions,Native_American_Population,Percent_Native_American,Native_American_Reservations
38017000300,North Dakota,Census Tract 3,Cass County,5239,0,0.00%,,3613,68.90%,North Dakota State University-Main Campus,North Dakota State University-Main Campus,0,0.00%,,0,0.00%,
38035010301,North Dakota,Census Tract 103.01,Grand Forks County,1588,0,0.00%,,976,61.40%,University Of North Dakota,University Of North Dakota,0,0.00%,,0,0.00%,
38035010302,North Dakota,Census Tract 103.02,Grand Forks County,2396,0,0.00%,,1577,65.80%,,University Of North Dakota,0,0.00%,,0,0.00%,
38053940100,North Dakota,Census Tract 9401,McKenzie County,1878,0,0.00%,,0,0.00%,,,0,0.00%,,1670,88.90%,Fort Berthold Reservation
38055940100,North Dakota,Census Tract 9401,McLean County,1058,0,0.00%,,0,0.00%,,,0,0.00%,,672,63.50%,Fort Berthold Reservation
38061940300,North Dakota,Census Tract 9403,Mountrail County,1239,0,0.00%,,0,0.00%,,,0,0.00%,,596,48.10%,Fort Berthold Reservation
38061940400,North Dakota,Census Tract 9404,Mountrail County,3542,0,0.00%,,0,0.00%,,,0,0.00%,,2134,60.20%,Fort Berthold Reservation
38071957600,North Dakota,Census Tract 9576,Ramsey County,4393,0,0.00%,,0,0.00%,,,0,0.00%,,769,17.50%,
38079941800,North Dakota,Census Tract 9418,Rolette County,5113,0,0.00%,,0,0.00%,,,0,0.00%,,4767,93.20%,Turtle Mountain Reservation
38079951600,North Dakota,Census Tract 9516,Rolette County,1407,0,0.00%,,0,0.00%,,,0,0.00%,,563,40.00%,Turtle Mountain Reservation
38079951700,North Dakota,Census Tract 9517,Rolette County,4121,0,0.00%,,0,0.00%,,,0,0.00%,,3333,80.80%,Turtle Mountain Reservation
38079951900,North Dakota,Census Tract 9519,Rolette County,1546,0,0.00%,,0,0.00%,,,0,0.00%,,615,39.70%,Turtle Mountain Reservation
38085940800,North Dakota,Census Tract 9408,Sioux County,1509,0,0.00%,,0,0.00%,,,0,0.00%,,1148,76.00%,Standing Rock Reservation
38085940900,North Dakota,Census Tract 9409,Sioux County,2389,0,0.00%,,0,0.00%,,,0,0.00%,,2184,91.40%,Standing Rock Reservation
38093967401,North Dakota,Census Tract 9674.01,Stutsman County,1730,0,0.00%,,629,36.30%,University Of Jamestown,University Of Jamestown,0,0.00%,,0,0.00%,
38101010902,North Dakota,Census Tract 109.02,Ward County,2749,0,0.00%,,0,0.00%,,,465,16.90%,Minot Air Force Base,0,0.00%,
39003011200,Ohio,Census Tract 112,Allen County,2843,1513,53.20%,Western Ohio Regional Treatment & Rehabilitation Center / Worth Center,0,0.00%,,,0,0.00%,,0,0.00%,
39007000101,Ohio,Census Tract 1.01,Ashtabula County,4653,1770,38.00%,Lake Erie Correctional Institution,0,0.00%,,,0,0.00%,,0,0.00%,
39009973101,Ohio,Census Tract 9731.01,Athens County,4316,0,0.00%,,2140,49.50%,,Ohio University-Main Campus,0,0.00%,,0,0.00%,
39009973901,Ohio,Census Tract 9739.01,Athens County,6193,0,0.00%,,4286,69.20%,Ohio University-Main Campus,Ohio University-Main Campus,0,0.00%,,0,0.00%,
39013012202,Ohio,Census Tract 122.02,Belmont County,4469,2771,62.00%,Oakview Juvenile Residential Center,0,0.00%,,,0,0.00%,,0,0.00%,
39017000400,Ohio,Census Tract 4,Butler County,4747,883,18.60%,Butler County Correctional Complex,0,0.00%,,,0,0.00%,,0,0.00%,
39017010104,Ohio,Census Tract 101.04,Butler County,5545,0,0.00%,,5461,98.40%,Miami University-Oxford,Miami University-Oxford,0,0.00%,,0,0.00%,
39017010201,Ohio,Census Tract 102.01,Butler County,2451,0,0.00%,,2400,97.90%,,Miami University-Oxford,0,0.00%,,0,0.00%,
39023000700,Ohio,Census Tract 7,Clark County,1897,0,0.00%,,834,43.90%,Wittenberg University,Wittenberg University,0,0.00%,,0,0.00%,
39029951402,Ohio,Census Tract 9514.02,Columbiana County,4997,2411,48.20%,Fci Elkton,0,0.00%,,,0,0.00%,,0,0.00%,
39035107101,Ohio,Census Tract 1071.01,Cuyahoga County,3656,1008,27.50%,Cleveland City Jail - The Justice Center,0,0.00%,,,0,0.00%,,0,0.00%,
39035109701,Ohio,Census Tract 1097.01,Cuyahoga County,2318,613,26.40%,Northeast Reintegration Center,0,0.00%,,,0,0.00%,,0,0.00%,
39035118800,Ohio,Census Tract 1188,Cuyahoga County,3596,0,0.00%,,858,23.80%,,Case Western Reserve University,0,0.00%,,0,0.00%,
39035134300,Ohio,Census Tract 1343,Cuyahoga County,3688,0,0.00%,,1197,32.40%,Baldwin Wallace University,Baldwin Wallace University,0,0.00%,,0,0.00%,
39035141300,Ohio,Census Tract 1413,Cuyahoga County,2790,0,0.00%,,700,25.00%,,Case Western Reserve University,0,0.00%,,0,0.00%,
39035187105,Ohio,Census Tract 1871.05,Cuyahoga County,3137,0,0.00%,,950,30.20%,John Carroll University,John Carroll University,0,0.00%,,0,0.00%,
39035196800,Ohio,Census Tract 1968,Cuyahoga County,5095,0,0.00%,,2950,57.80%,Case Western Reserve University,Case Western Reserve University,0,0.00%,,0,0.00%,
39041010100,Ohio,Census Tract 101,Delaware County,4839,0,0.00%,,953,19.60%,Ohio Wesleyan University,Ohio Wesleyan University,0,0.00%,,0,0.00%,
39045032502,Ohio,Census Tract 325.02,Fairfield County,2902,1553,53.50%,Southeastern Correctional Complex - Lancaster,0,0.00%,,,0,0.00%,,0,0.00%,
39049001121,Ohio,Census Tract 11.21,Franklin County,12131,0,0.00%,,11831,97.50%,Ohio State University-Main Campus,Ohio State University-Main Campus,0,0.00%,,0,0.00%,
39049001122,Ohio,Census Tract 11.22,Franklin County,3268,0,0.00%,,1912,58.50%,,,0,0.00%,,0,0.00%,
39049001302,Ohio,Census Tract 13.02,Franklin County,3039,0,0.00%,,892,29.30%,,Ohio State University-Main Campus,0,0.00%,,0,0.00%,
39049007010,Ohio,Census Tract 70.10,Franklin County,3995,0,0.00%,,1246,31.10%,Otterbein University,Otterbein University,0,0.00%,,0,0.00%,
39049008900,Ohio,Census Tract 89,Franklin County,5240,0,0.00%,,1147,21.80%,Capital University,Capital University,0,0.00%,,0,0.00%,
39057200104,Ohio,Census Tract 2001.04,Greene County,5048,0,0.00%,,1189,23.50%,Wright State University-Main Campus,Wright State University-Main Campus,0,0.00%,,0,0.00%,
39057240600,Ohio,Census Tract 2406,Greene County,5186,0,0.00%,,1890,36.40%,Central State University,Central State University,0,0.00%,,0,0.00%,
39057260100,Ohio,Census Tract 2601,Greene County,6717,0,0.00%,,2714,40.40%,Cedarville University,Cedarville University,0,0.00%,,0,0.00%,
39057280300,Ohio,Census Tract 2803,Greene County,1586,0,0.00%,,0,0.00%,,Wright State University-Main Campus,270,17.00%,Wright-Patterson Air Force Base,0,0.00%,
39061000700,Ohio,Census Tract 7,Hamilton County,3433,893,26.00%,,0,0.00%,,,0,0.00%,,0,0.00%,
39061002800,Ohio,Census Tract 28,Hamilton County,1234,276,22.30%,River City Correctional Center,0,0.00%,,,0,0.00%,,0,0.00%,
39061002901,Ohio,Census Tract 29.01,Hamilton County,2744,0,0.00%,,1406,51.20%,,,0,0.00%,,0,0.00%,
39061003000,Ohio,Census Tract 30,Hamilton County,5918,0,0.00%,,4650,78.50%,University Of Cincinnati-Main Campus,University Of Cincinnati-Main Campus,0,0.00%,,0,0.00%,
39061006501,Ohio,Census Tract 65.01,Hamilton County,2947,0,0.00%,,1961,66.50%,Xavier University,Xavier University,0,0.00%,,0,0.00%,
39063000902,Ohio,Census Tract 9.02,Hancock County,3401,0,0.00%,,929,27.30%,The University Of Findlay,The University Of Findlay,0,0.00%,,0,0.00%,
39065000401,Ohio,Census Tract 4.01,Hardin County,1794,0,0.00%,,1555,86.60%,Ohio Northern University,Ohio Northern University,0,0.00%,,0,0.00%,
39081000200,Ohio,Census Tract 2,Jefferson County,3453,0,0.00%,,1485,43.00%,Franciscan University Of Steubenville,Franciscan University Of Steubenville,0,0.00%,,0,0.00%,
